Grid,Column,Row,Agapanthus_campanulatus,Albuca_long_C,Albuca_setosa,Albuca_Twist,Alepidea_natalensis,Alepidea_setifera,Aloe_verecunda,Anthospermum_herbaceum,Anthospermum_hispidulum,Anthospermum_streyi,Anthospermum_woody,Anthoxanthum_ecklonii,Apiaceae_snow,Arctotis_arctoides,Argyrolobium_sp.1,Aristea_cognata,Aristida_junciformis,Merxmuellera_drakensbergensis,Helicotrichon_sp.,Asclepias_humillis,Aster_perfoliatus,Aster_rosette,Aster_Sponge,Athrixia_sp.1,Afroaster_erucifolius,Bean_Tube_,Berkheya_rhapontica,Berkheya_rosulata,Bottle_Brush,Bottom_white_hyacinth/Allium,Bulbine_capitata_,Bulbostylis_humilis,Bulbostylis_Long,Bupleurum_mundii,Carex_zuluensis,Cats_Claw,Ursinia_alpina,cf._Diclis_sp.,cf._Erica_Drakensbergish,Eumorphia_prostrata,cf._Holcus_lanatus,Cheilanthes_eckloniana,Cheilanthes_quadripinnata,Cineraria_erodiodes,Claw_sedge,Commelina_africana,Corycium_midvein,Corycium_dracomontanum,Cotula_australis,Cotula_hispida,Crassula_dependens,Crassula_lanceolata,Crassula_setulosa,Crassula_peploides,Crassula_vaginata,Craterocapsa_tarsodes,Zaluzianksya_pulvinata,Cycnium_racemosa,Cymbopogon_prolixus,Cyperus_semitrifidus,Dentate_Opposite,Dianthus_cf._basuticus,Dierama_sp.1,Digitaria_monodactyla,Diheteropogon_amplectens,Diheteropogon_filifolius,Dimorphotheca_jucunda,Disa_stachyoides,Disperis_renibractea,Dracomonticola_virginea,Ehrharta_longiglumous,Elionurus_muticus,Eragrostis_capensis,Eragrostis_caesia,Eragrostis_racemosa,Erica_woodii,Erica_alopecuris,Erica_Smooth_Stem,Erica_sticky_,Erica_sp.1,Erica_Young_Yellow,Eucomis_autumnalis_clavata,Eulalia_villosa,Eulophia_sp.,Felicia_muricata,Festuca_scabra,Ficinia_cinammomea,Ficinia_Small,Fishbone_rosette,Flat_Leaf_Orchid,Floppy_Hairy_Bulb,Hirpicium_armeriodes,Gazania_krebsiana,Gazania_like,Glumicalyx_montanus,Gnidia_baurii,Grass_hairy_inside,Ground_Stem_Orchid_,Hairy_rib_leaf,Harpochloa_falx,Hebenstretia_dura,Cyphia elata,Helichrysum_adenocarpum,Helichrysum_dasycephalum,Helichrysum_chionosphaerum,Helichrysum_confertum,Helichrysum_ecklonis,Helichrysum_evansii,Helichrysum_krookii,Helichrysum_lambs_ears,Helichrysum_Long_Hair,Helichrysum_bellum,Helichrysum_pallidum,Helichrysum_Purple_Cobweb,Helichrysum_sessile_morpho,Helichrysum_aureum,Helichrysum_spiralepis,Helichrysum_Spoon,Helichrysum_cymosum,Heliophila_rigidiscula,Hesperantha_baurii,Heteropogon_contortis,Hypericum_aethiopicum,Hypoxis_filiformis,Hypoxis_parvula,Kniphofia_porphyrantha,Koeleria_capensis,Lanceolate_herb,Ledebouria_sp.,Lobelia_flaccida,Lobelia_preslii,Lotononis_lotononoides,Monsonia_attenuata,Moraea_brevistyla,Moraea_inclinata,Muraltia_saxicola,Opposite_Pubscent_,Ornithigalum_juncifolium,Oxalis_obliquifolia,Parsley_plant,Pentameris_setifolia,Pentameris_exserta,Polygala_rhinostigma,Psammotropha_myriantha,Psammotropha_obtusa_,Rhodohypoxis_baurii,Romulea_thodei,Satyrium_longicauda,Scabiosa_columbaria_,Senecio_Hairy_Above,Sebaea_sedoides,Poaceae_sp.1,Senecio_coronatus,Senecio_discodregeanus,Senecio_erubescens,Senecio_glaberimous,Senecio_light_vein,Senecio_oxyriifolius,Senecio_Purple_Circle,Senecio_rhomboideus,Seriphium_plumosum,Serrated_Heart,Skinny_alternate_,Sporobolus_centrifugus_,Stachys_sp.,Stiburus_alopecuroides_,Tenaxia_disticha,Themeda_triandra,Thesium_cf._disciflorum,Athrixia_fontana,Toothed_alternate_,Trifolium_burchellianium,Tristachya_leucothrix,Sebea_sp.1,Wahlenbergia_cuspidata,Wahlenbergia_krebsii,Wahlenbergia_Midvein_,Watsonia_lepida,cf._Manulea_buchneroides,Morea_sp.1,Wirey_Contracted/Open_Panicle_,Wurmbea_elatior_,cf._Berkheya_sp.1,Zaluzianskya_microsiphon,Species_Richness
1,A,11,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,9
1,A,12,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,A,13,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1,A,14,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1,A,15,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0.5,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,18
1,A,16,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17
1,A,17,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
1,A,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,10,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1,A,19,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16
1,A,20,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14
1,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,17
1,B,2,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,23
1,B,3,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,20
1,B,4,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15
