Sample ID,Date,Grid,Cell,Species,Height (cm),Wet mass (mg),Chlorofil,Thickness (mm),FTT,Width at tear (mm),Number of leaves weighed,Dry mass (mg),Area (cm2),SLA,Image reference,Notes,
1,06/11/2023,7,A4,Festuca caprina,15,13.1,1166,0.64,6.15,0.44,1,4.8,0.453,0.094375,BG_20231106_001,,
2,06/11/2023,7,G4,Crassula setulosa,3,29.4,987,1.04,,,6,4.5,0.541,0.120222222,BG_20231106_001,,
3,06/11/2023,7,C3,Festuca caprina,16,9.9,1105,0.43,3.51,0.42,1,5.4,0.275,0.050925926,BG_20231106_001,Both festuca I'm not sure,
4,06/11/2023,7,F2,Poa binnata,12,71.8,1101,0.25,13.97,3.77,1,25.5,3.345,0.131176471,BG_20231106_002,,
5,06/11/2023,7,D4,Tenaxia disticha,9,16.7,1130,0.44,4.19,0.56,1,7.6,0.503,0.066184211,BG_20231106_002,,
6,06/11/2023,7,B4,Felicia rosulata,1,79.4,1143,0.79,,,1,19.1,2.088,0.109319372,BG_20231106_002,,
7,06/11/2023,7,D4,Senecio macrocephalus,1,45,915,1.04,,,1,3.5,0.915,0.261428571,BG_20231106_003,,
8,06/11/2023,7,F4,Merxmuellera drakensbergensis,50,116.2,1103,0.66,21.08,0.81,1,76,2.19,0.028815789,BG_20231106_003,,
9,06/11/2023,7,F2,Senecio sp1,4,17.8,1147,0.53,,,1,5.1,0.79,0.154901961,BG_20231106_003,,
10,06/11/2023,7,H4,Sebaea sedoides,2,33.5,911,0.38,,,1,8.6,1.129,0.13127907,BG_20231106_004,,
11,06/11/2023,7,F4,Erica woodii,7,6.7,1033,0.4,,,42,1.8,0.3,0.166666667,BG_20231106_004,Only 28 leaves weighed - 42 leaves confirmed with scan,
12,06/11/2023,7,G3,Merxmuellera drakensbergensis,33,194.4,1171,0.83,31.02,0.87,1,128.1,3.549,0.027704918,BG_20231106_004,,
13,06/11/2023,7,F4,Helichrysum subglomeratum,3,8.1,1262,0.5,,,1,2.6,10.516,4.044615385,BG_20231106_005,This is the geum labelled 3 on scan ,
14,06/11/2023,7,E1,Festuca costata,10,26,1044,0.19,10.43,2.6,1,8.7,1.173,0.134827586,BG_20231106_005,,
15,06/11/2023,7,B2,Geum capense,6,386.4,1037,0.88,,,1,124.4,0.369,0.002966238,BG_20231106_005,This is the Heli sub labelled 1,
16,06/11/2023,7,H6,Helichrysum subglomeratum,3,25.5,1230,0.31,,,1,5.8,0.462,0.079655172,BG_20231106_006,Mislablled this is the Cot_his: Labelled 1 ,
17,06/11/2023,7,G3,Poa binnata,16,88.7,1135,0.43,6.75,3.44,1,30.7,5.154,0.167882736,BG_20231106_006,,
18,06/11/2023,7,G3,Cotula hispida,1,9.9,1016,0.41,,,1,2.3,0.986,0.428695652,BG_20231106_006,Mislablled this is the Heli_sub,
19,06/11/2023,7,G3,Senecio Species 1,8,15.9,949,0.35,,,1,3.9,3.062,0.785128205,BG_20231106_007,The is Sen Mac,
20,06/11/2023,7,E3,Festuca costata,8,61.3,1107,0.25,4.79,4.48,1,15.4,3.629,0.235649351,BG_20231106_007,,
21,06/11/2023,7,E2,Senecio macrocephalus,0.5,171.7,949,1.04,,,1,13.8,0.929,0.067318841,BG_20231106_007,This is sencecio sp 1 ,
22,06/11/2023,7,C3,Sebeae sedoides,1,6.1,985,0.19,,,1,0.9,0.322,0.357777778,BG_20231106_008,Mislabled this is tenaxia,
23,06/11/2023,7,A3,Merxmuellera drakensbergensis,24,113.6,1166,0.79,40.29,0.34,1,71.1,1.949,0.027412096,BG_20231106_008,,
24,06/11/2023,7,D2,Tenaxia disticha,6,11.3,1063,0.33,4.6,0.33,1,4.8,0.364,0.075833333,BG_20231106_008,Sebeae: mislabled ,
25,06/11/2023,7,E3,Helichrysum albo-brunneum,1,22.6,966,0.56,,,1,3.3,0.599,0.181515152,BG_20231106_009,Mislablled this is festuca,
26,06/11/2023,7,C3,Athrixia fontana,0.5,12.3,887,0.67,,,1,1.8,0.451,0.250555556,BG_20231106_009,,
27,06/11/2023,7,B2,Festuca caprina,26,15.5,1076,0.34,4.97,0.16,1,7.7,0.653,0.084805195,BG_20231106_009,Mislabbed this is heli albo,
28,06/11/2023,7,B2,Poa binnata,7,11.2,1154,0.95,4.45,2.39,1,3.3,0.358,0.108484848,BG_20231106_010,This is the Senecio,
29,06/11/2023,7,F2,Cotula hispida,1,7.4,934,0.22,,,2,0.8,0.397,0.49625,BG_20231106_010,,
30,06/11/2023,7,H2,Senecio Species 1,1,11.4,915,0.44,,,1,3,0.725,0.241666667,BG_20231106_010,This is Poa,
31,06/11/2023,7,G1,Crassula setulosa,0.5,8.5,961,0.66,,,1,1.1,2.022,1.838181818,BG_20231106_011,This is Merx,
32,06/11/2023,7,D2,Poa binnata,6,26.4,1105,0.19,3.12,0.77,1,9.3,1.625,0.174731183,BG_20231106_011,,
33,06/11/2023,7,G7,Merxmuellera drakensbergensis,26,110.8,1194,0.83,34.12,0.49,1,67.2,0.715,0.010639881,BG_20231106_011,This is cras,
34,06/11/2023,7,H2,Merxmuellera drakensbergensis,25,103.6,1092,0.75,23.6,0.56,1,67.8,1.575,0.023230088,BG_20231106_012,This is Felicia,
35,06/11/2023,7,B2,Cotula hispida,0.5,9.6,955,0.69,,,1,1.4,0.563,0.402142857,BG_20231106_012,,
36,06/11/2023,7,D2,Felicia rosulata,0.5,57.7,925,0.67,,,1,9.1,1.927,0.211758242,BG_20231106_012,This is Merx,
37,06/11/2023,7,F2,Merxmuellera drakensbergensis,13,32.4,1162,0.64,23.8,0.46,1,20.1,0.771,0.038358209,BG_20231106_013,,
38,06/11/2023,7,A3,Helichrysum monticola,0.5,36.1,951,0.42,,,1,7,1.876,0.268,BG_20231106_013,3 extra leaves that I don’t think are the same species were ignored ,
39,06/11/2023,7,D2,Geum capense,3.5,502.5,913,0.62,,,1,180,11.67,0.064833333,BG_20231106_013,,
40,06/11/2023,7,F2,Geranium multisectum ,3,9.5,949,0.55,,,1,3.3,0.402,0.121818182,BG_20231106_014,,
41,06/11/2023,7,H2,Festuca costata,14,26.3,1014,0.17,8.27,3.42,1,8.9,1.715,0.192696629,BG_20231106_014,,
42,06/11/2023,7,F2,Tenaxia disticha,4,8.5,1120,0.45,2.08,0.25,1,3.9,0.24,0.061538462,BG_20231106_014,,
43,06/11/2023,7,G1,Festuca caprina,11,17.4,1025,0.31,4.63,0.21,1,8.2,0.65,0.079268293,BG_20231106_015,,
44,06/11/2023,7,C1,Senecio Species 1,2,18,978,0.32,,,1,5.7,0.696,0.122105263,BG_20231106_015,,
45,06/11/2023,7,G1,Poa binnata,9,34.9,1130,0.19,4.46,1.73,1,13.7,1.976,0.144233577,BG_20231106_015,,
46,06/11/2023,7,G1,Merxmuellera drakensbergensis,21,61.4,1145,0.65,20.37,0.49,1,37.5,1.247,0.033253333,BG_20231106_016,,
47,06/11/2023,7,H2,Helichrysum subglomeratum,3,19,1078,0.29,,,1,5.3,0.761,0.143584906,BG_20231106_016,,
48,06/11/2023,7,D2,Festuca caprina,11,12.5,NA - no signal,0.35,4.5,0.29,1,8,0.5,0.0625,BG_20231106_016,,
49,06/11/2023,7,B2,Sebeae sedoides,1,63.2,913,0.52,,,1,11.7,2.504,0.214017094,BG_20231106_017,,
50,06/11/2023,7,A3,Geranium multisectum ,2,30.1,970,1.12,,,1,10.3,1.177,0.114271845,BG_20231106_017,,
51,06/11/2023,7,B2,Helichrysum monticola,0.5,24.2,923,0.58,,,1,3.6,1.496,0.415555556,BG_20231106_017,,
52,06/11/2023,7,F2,Crassula setulosa,1,20.2,955,0.73,,,6,1.9,0.338,0.177894737,BG_20231106_018,3 Leaves weighed : confirm 6 on scan ,
53,06/11/2023,7,F2,Helichrysum monticola,2,45.1,957,0.68,,,1,7.9,2.397,0.303417722,BG_20231106_018,,
54,06/11/2023,7,H2,Festuca caprina,13,27.4,1057,0.46,5.57,0.19,1,12.1,0.861,0.071157025,BG_20231106_018,,
55,06/11/2023,7,D2,Senecio speciosus,0.5,170.8,847,1.94,,,1,13.1,2.975,0.227099237,BG_20231106_019,,
56,06/11/2023,7,F2,Alepidea natalensis,0.5,25.2,947,0.61,,,1,5.2,0.951,0.182884615,BG_20231106_019,,
57,06/11/2023,7,H2,Erica woodii,3,4.7,1122,0.22,,,49,0.8,0.281,0.35125,BG_20231106_019,22 leaves,53 leaves counted on scan 
58,06/11/2023,7,F2,Pentameris airoides,1,3.8,1044,0.27,0.33,1.56,1,1.4,0.334,0.238571429,BG_20231106_020,,
59,06/11/2023,7,G1,Alepidea natalensis,0.5,39.7,921,0.71,,,1,8,1.454,0.18175,BG_20231106_020,,
60,06/11/2023,7,G1,Cotula hispida,2,14.1,934,0.88,,,1,2.5,0.725,0.29,BG_20231106_020,,
61,06/11/2023,7,H2,Senecio speciosus,0.5,58.8,847,1.61,,,1,6.6,0.889,0.13469697,BG_20231106_021,,
62,06/11/2023,7,G1,Felicia rosulata,0.5,97.7,964,1.61,,,1,23.8,1.584,0.066554622,BG_20231106_021,,
63,06/11/2023,7,G1,Senecio macrocephalus,2,471.2,858,1.9,,,1,50.9,9.152,0.179803536,BG_20231106_021,,
64,06/11/2023,7,E1,Thesium,2,19.2,915,0.63,,,6,1.2,0.346,0.288333333,BG_20231106_022,Only 1 leaf,
65,06/11/2023,7,E1,Merxmuellera drakensbergensis,23,62.3,1054,0.74,12.14,0.56,1,40.8,1.152,0.028235294,BG_20231106_022,,
66,06/11/2023,7,E1,Geum capense,5,489.9,911,1.39,,,1,164.2,12.041,0.073331303,BG_20231106_022,,
67,06/11/2023,7,A1,Merxmuellera drakensbergensis,37,70.9,1257,0.68,32.04,0.28,1,40.3,1.323,0.032828784,BG_20231106_023,,
68,06/11/2023,7,H2,Helichrysum albo-brunneum,1,81.1,906,0.81,,,1,10,1.608,0.1608,BG_20231106_023,,
69,06/11/2023,7,C1,Poa binnata,10,49.7,1107,0.19,7.79,2.61,1,20.9,2.787,0.133349282,BG_20231106_023,,
70,06/11/2023,7,E1,Poa binnata,9,15.1,1082,0.17,1.38,2.01,1,5.3,0.936,0.176603774,BG_20231106_024,,
71,06/11/2023,7,A1,Festuca caprina,14,11.6,1023,0.34,4.06,0.3,1,4.9,0.402,0.082040816,BG_20231106_024,,
72,06/11/2023,7,C1,Cotula hispida,0.5,5.7,957,0.37,,,1,1,0.324,0.324,BG_20231106_024,,
73,06/11/2023,7,C1,Festuca caprina,19,24.1,1111,0.51,3.23,0.39,1,10.1,0.861,0.085247525,BG_20231106_025,,
74,06/11/2023,7,C1,Merxmuellera drakensbergensis,34,80.4,1232,1.08,28.93,0.63,1,52.2,1.616,0.030957854,BG_20231106_025,,
75,06/11/2023,7,C1,Athrixia fontana,0.5,16.6,951,0.63,,,1,2.5,0.724,0.2896,BG_20231106_025,,
76,06/11/2023,7,A1,Tenaxia disticha,11,13.2,1158,0.39,4.33,0.32,1,6.3,0.423,0.067142857,BG_20231106_026,,
77,06/11/2023,7,A1,Poa binnata,8.5,47,1109,0.19,6.94,2.98,1,18.2,2.292,0.125934066,BG_20231106_026,,
78,06/11/2023,7,E1,Felicia rosulata,0.5,172.1,868,1.62,,,1,43.2,2.85,0.065972222,BG_20231106_026,,
79,06/11/2023,7,H2,Geum capense,1,433.3,887,0.86,,,1,149.6,11.909,0.079605615,BG_20231106_027,,
80,06/11/2023,7,A1,Geum capense,1,182.6,911,1.12,,,1,57.9,5.539,0.09566494,BG_20231106_027,,
81,06/11/2023,7,A1,Geranium multisectum ,3,69,1040,0.5,,,1,25.1,2.06,0.082071713,BG_20231106_027,,
82,06/11/2023,7,A1,Athrixia fontana,0.5,32.8,1147,0.43,,,1,5.7,1.154,0.20245614,BG_20231106_028,,
83,06/11/2023,7,A1,Zaluzianskya Sp1,0.5,94.9,894,0.97,,,1,17.4,2.159,0.12408046,BG_20231106_028,,
84,06/11/2023,7,E1,Helichrysum monticola,2,24.9,906,0.61,,,1,5.1,1.694,0.332156863,BG_20231106_028,,
85,06/11/2023,7,A1,Helichrysum subglomeratum,2,20.3,1226,0.32,,,1,5.9,0.759,0.128644068,BG_20231106_029,,
86,06/11/2023,7,D1,Alepidea natalensis,0.5,56.8,955,0.41,,,1,12.1,1.852,0.153057851,BG_20231106_029,,
87,06/11/2023,7,C1,Geum capense,8,605.6,934,1.07,,,1,168,17.089,0.101720238,BG_20231106_029,,
88,07/11/2023,7,A20,Erica woodii,1,5.8,961,0.18,,,60,1.9,0.305,0.160526316,BG_20231107_001,38 leaves,Only 52 leaves in scan not 60
89,07/11/2023,7,A20,Festuca costata,9,31,1141,0.23,7.54,3.48,1,11.7,2.081,0.177863248,BG_20231107_001,,
90,07/11/2023,7,A20,Helichrysum subglomeratum,3,14.5,1219,0.36,,,1,3.6,0.456,0.126666667,BG_20231107_001,,
91,07/11/2023,7,H20,Merxmuellera drakensbergensis,13,70.7,1067,0.69,27.2,0.52,1,43.7,1.385,0.031693364,BG_20231107_002,,
92,07/11/2023,7,D20,Festuca costata,11,48.5,1035,0.27,4.83,2.24,1,14.9,3,0.201342282,BG_20231107_002,,
93,07/11/2023,7,A20,Pentameris airoides,2,6.2,839,0.15,1.24,0.87,3,0.5,0.409,0.818,BG_20231107_002,1 leaf,
94,07/11/2023,7,A20,Poa binnata,8,50.5,997,0.33,13.15,3.39,1,19.7,2.602,0.132081218,BG_20231107_003,,
95,07/11/2023,7,A20,Alepidea natalensis,2,49.7,919,0.6,,,1,10,2.058,0.2058,BG_20231107_003,,
96,07/11/2023,7,F20,Poa binnata,19,33.2,1071,0.22,6.44,2.4,1,11.8,1.835,0.155508475,BG_20231107_003,,
97,07/11/2023,7,D20,Poa binnata,7,38.6,1090,0.27,6.07,1.88,1,13.3,1.956,0.147067669,BG_20231107_004,,
98,07/11/2023,7,D20,Merxmuellera drakensbergensis,23,53,1069,0.72,21.85,0.25,1,31.4,0.984,0.03133758,BG_20231107_004,,
99,07/11/2023,7,F20,Festuca costata,15,39.1,1063,0.22,7.23,3.75,1,12.2,2.432,0.199344262,BG_20231107_004,,
100,07/11/2023,7,H20,Festuca caprina,15,16.4,936,0.39,3.59,0.21,1,7.9,0.623,0.078860759,BG_20231107_005,,
101,07/11/2023,7,A20,Ficinia stolonifera,6,6.8,974,0.44,,,1,3.1,0.247,0.079677419,BG_20231107_005,,
102,07/11/2023,7,F20,Festuca caprina,30,39.7,1092,0.42,9.81,0.51,1,18.8,1.299,0.069095745,BG_20231107_005,,
